i;я;мин
scarf;шарф;шарф
watch;часы;сәғәт
ring;кольцо;йөҙөк
necklace;ожерелье;муйынса
bracelet;браслет;браслет
earrings;серьги;алҡа
store;магазин;кибет
market;рынок;баҙар
cafe;кафе;кафе
restaurant;ресторан;ресторан
hotel;гостиница;ҡунаҡхана
bank;банк;банк
post office;почта;почта
library;библиотека;китапхана
museum;музей;музей
theater;театр;театр
cinema;кинотеатр;кинотеатр
church;церковь;сиркәү
mosque;мечеть;мәсет
temple;храм;ғибәҙәтхана
stop;остановка;туҡталыш
station;станция;станция
airport;аэропорт;аэропорт
port;порт;порт
beach;пляж;пляж
pool;бассейн;бассейн
gym;спортзал;спортзал
stadium;стадион;стадион
playground;площадка;уйын майҙаны
construction;стройка;төҙөлөш
factory;завод;завод
office;офис;офис
hospital;больница;дауахана
pharmacy;аптека;дарыхана
police;полиция;полиция
fire station;пожарная часть;янғын бүлеге
city;город;ҡала
village;деревня;ауыл
street;улица;урам
lane;переулок;һыҙат
avenue;проспект;проспект
boulevard;бульвар;бульвар
bridge;мост;күпер
tunnel;туннель;тоннель
stairs;лестница;баҫҡыс
elevator;лифт;лифт
escalator;эскалатор;эскалатор
ramp;пандус;пандус
bench;лавка;эскәмйә
fountain;фонтан;фонтан
monument;памятник;һәйкәл
statue;статуя;статуя
poster;плакат;плакат
graffiti;граффити;граффити
trash can;урна;сүп һауыты
fire hydrant;гидрант;гидрант
manhole;люк;люк
wire;провод;үткәргес
cable;кабель;кабель
pipe;труба;торба
vent;вентиляция;вентиляция
chimney;дымоход;төтөн сығарыу
antenna;антенна;антенна
satellite;спутник;спутник
solar panel;панель;ҡояш панеле
brick;кирпич;кирбес
concrete;бетон;бетон
wood;дерево;ағас
metal;металл;металл
glass;стекло;быяла
plastic;пластик;пластик
paper;бумага;ҡағыҙ
rubber;резина;резина
leather;кожа;тире
fabric;ткань;туҡыма
rope;верёвка;бау
chain;цепь;сынйыр
wire;проволока;ҡылыс
nail;гвоздь;ҡаҙаҡ
screw;винт;винт
hammer;молоток;сүкеш
saw;пила;бысҡы
knife;нож;бысаҡ
scissors;ножницы;ҡайсы
shovel;лопата;көрәк
broom;веник;һепертке
mop;швабра;швабра
bucket;ведро;биҙрә
ladder;лестница;баҫҡыс
flashlight;фонарик;фонарик
battery;батарейка;батарейка
plug;вилка;вилка
socket;розетка;розетка
switch;выключатель;выключатель
button;кнопка;төймә
handle;ручка;тотҡос
wheel;колесо;тәгәрмәс
tire;шина;шина
engine;двигатель;двигатель
fuel;топливо;яғыулыҡ
oil;масло;май
water;вода;һыу
gas;газ;газ
steam;пар;пар
smoke;дым;төтөн
ash;пепел;көл
dirt;грязь;бысраҡ
dust;пыль;саң
snow;снег;ҡар
ice;лёд;боҙ
hail;град;борсаҡ
storm;буря;дауыл
thunder;гром;күк күкрәү
lightning;молния;яшен
rainbow;радуга;йәйғор
morning;утро;иртә
afternoon;день;көн
evening;вечер;кис
night;ночь;төн
today;сегодня;бөгөн
tomorrow;завтра;иртәгә
yesterday;вчера;кисә
week;неделя;аҙна
month;месяц;ай
year;год;йыл
spring;весна;яҙ
summer;лето;йәй
autumn;осень;көҙ
winter;зима;ҡыш
east;восток;көнсығыш
west;запад;көнбайыш
north;север;төньяҡ
south;юг;көньяҡ
left;лево;һул
right;право;уң
straight;прямо;тура
up;вверх;өҫкә
down;вниз;аҫҡа
forward;вперёд;алға
back;назад;артҡа
inside;внутри;эстә
outside;снаружи;тышта
near;близко;яҡын
far;далеко;йыраҡ
big;большой;ҙур
small;маленький;бәләкәй
long;длинный;оҙон
short;короткий;ҡыҫҡа
high;высокий;бейек
low;низкий;түбән
wide;широкий;киң
narrow;узкий;тар
heavy;тяжёлый;ауыр
light;лёгкий;еңел
fast;быстрый;тиҙ
slow;медленный;яй
hot;горячий;эҫе
cold;холодный;һыуыҡ
warm;тёплый;йылы
cool;прохладный;салҡын
wet;мокрый;еүеш
dry;сухой;ҡоро
clean;чистый;таҙа
dirty;грязный;бысраҡ
new;новый;яңы
old;старый;иҫке
young;молодой;йәш
good;хороший;яҡшы
bad;плохой;насар
beautiful;красивый;матур
ugly;уродливый;ямансы
happy;счастливый;бәхетле
sad;грустный;ҡайғылы
rich;богатый;бай
poor;бедный;ярлы
strong;сильный;көслө
weak;слабый;көсһөҙ
smart;умный;аҡыллы
stupid;глупый;аҡылһыҙ
brave;храбрый;ҡыйыу
scared;испуганный;ҡурҡҡан
tired;уставший;арыған
hungry;голодный;ас
thirsty;жаждущий;һыуһаған
full;сытый;туҡ
empty;пустой;буш
open;открытый;асыҡ
closed;закрытый;ябыҡ
free;свободный;ирекле
busy;занятый;мәшғүл
easy;лёгкий;еңел
difficult;трудный;ҡыйын
cheap;дешёвый;арзан
expensive;дорогой;ҡиммәт
safe;безопасный;хәүефһеҙ
dangerous;опасный;хәүефле
